date,away,home,away_spread,home_spread,total_line,away_score,home_score,away_offrtg,away_defrtg,away_reb_percent,away_tov_percent,away_ts_percent,away_pace,away_pie,home_offrtg,home_defrtg,home_reb_percent,home_tov_percent,home_ts_percent,home_pace,home_pie
20241202,pelicans,hawks,9.5,-9.5,228.5,112,124,100.2,116.7,49.2,16.2,50.6,98.25,41.6,110.5,111.0,52.3,16.4,56.3,105.25,51.2
20241202,heat,celtics,10.5,-10.5,220.5,89,108,112.6,109.3,49.0,13.5,57.0,97.18,50.7,121.6,113.5,49.4,11.3,60.9,97.68,53.2
20241202,nets,bulls,7.5,-7.5,233.5,102,128,115.2,120.9,44.5,14.6,61.1,96.45,46.3,117.3,122.8,46.7,13.6,61.7,104.7,47.5
20241202,lakers,timberwolves,7.5,-7.5,219.5,80,109,113.7,116.3,47.6,13.0,58.6,97.7,49.8,107.6,111.6,48.9,16.2,56.3,97.22,47.4
20241203,76ers,hornets,-4.5,4.5,210.5,110,104,103.8,109.7,47.4,15.0,54.4,97.62,46.2,107.5,114.1,50.1,16.4,53.5,96.99,45.6
20241203,wizards,cavaliers,16.5,-16.5,234.5,87,118,103.2,118.6,48.7,15.8,54.1,103.4,41.0,119.5,113.7,49.5,13.0,60.9,101.25,52.5
20241203,bucks,pistons,-2.5,2.5,220.5,128,107,115.9,109.9,48.9,13.7,60.2,98.47,53.5,111.3,112.7,50.2,15.2,56.2,98.2,49.2
20241203,magic,knicks,4.5,-4.5,214.5,106,121,112.3,103.5,51.3,15.9,57.7,95.75,56.3,123.6,115.4,52.4,12.8,62.1,98.05,55.0
20241203,pacers,raptors,-2.5,2.5,237.5,111,122,113.0,118.5,48.8,14.8,59.0,102.45,47.8,111.0,110.5,52.5,16.4,55.4,98.38,50.6
20241203,jazz,thunder,13.5,-13.5,223.5,106,133,112.9,118.7,53.0,17.6,57.9,98.3,46.0,114.6,107.0,46.8,11.3,56.4,98.1,54.5
20241203,grizzlies,mavericks,4.5,-4.5,243.5,116,121,116.6,109.1,52.0,15.2,58.8,105.0,54.5,119.6,110.0,52.4,14.3,60.1,100.7,54.7
20241203,spurs,suns,7.5,-7.5,228.5,93,104,116.2,113.7,48.1,13.4,59.6,99.6,52.7,112.8,117.5,50.5,13.8,57.4,98.18,46.9
